N , 0 , 2 , 0 , 1 : DOWN
N , 0 , 2 , 0 , 2 : DOWN
N , 0 , 2 , 0 , 3 : DOWN
N , 0 , 2 , 0 , 4 : DOWN
N , 0 , 2 , 1 , 0 : NONE
N , 0 , 2 , 1 , 1 : STAY
N , 0 , 2 , 1 , 2 : STAY
N , 0 , 2 , 1 , 3 : STAY
N , 0 , 2 , 1 , 4 : STAY
N , 0 , 3 , 0 , 0 : NONE
N , 0 , 3 , 0 , 1 : DOWN
N , 0 , 3 , 0 , 2 : DOWN
N , 0 , 3 , 0 , 3 : DOWN
N , 0 , 3 , 0 , 4 : DOWN
N , 0 , 3 , 1 , 0 : NONE
N , 0 , 3 , 1 , 1 : STAY
N , 0 , 3 , 1 , 2 : STAY
N , 0 , 3 , 1 , 3 : STAY
N , 0 , 3 , 1 , 4 : STAY
N , 1 , 0 , 0 , 0 : NONE
N , 1 , 0 , 0 , 1 : CRAFT
N , 1 , 0 , 0 , 2 : CRAFT
N , 1 , 0 , 0 , 3 : CRAFT
N , 1 , 0 , 0 , 4 : CRAFT
N , 1 , 0 , 1 , 0 : NONE
N , 1 , 0 , 1 , 1 : CRAFT
N , 1 , 0 , 1 , 2 : CRAFT
N , 1 , 0 , 1 , 3 : CRAFT
N , 1 , 0 , 1 , 4 : CRAFT
N , 1 , 1 , 0 , 0 : NONE
N , 1 , 1 , 0 , 1 : DOWN
N , 1 , 1 , 0 , 2 : CRAFT
N , 1 , 1 , 0 , 3 : CRAFT
N , 1 , 1 , 0 , 4 : CRAFT
N , 1 , 1 , 1 , 0 : NONE
N , 1 , 1 , 1 , 1 : CRAFT
N , 1 , 1 , 1 , 2 : CRAFT
N , 1 , 1 , 1 , 3 : CRAFT
N , 1 , 1 , 1 , 4 : CRAFT
N , 1 , 2 , 0 , 0 : NONE
N , 1 , 2 , 0 , 1 : DOWN
N , 1 , 2 , 0 , 2 : DOWN
N , 1 , 2 , 0 , 3 : CRAFT
N , 1 , 2 , 0 , 4 : DOWN
N , 1 , 2 , 1 , 0 : NONE
N , 1 , 2 , 1 , 1 : STAY
N , 1 , 2 , 1 , 2 : CRAFT
N , 1 , 2 , 1 , 3 : CRAFT
N , 1 , 2 , 1 , 4 : CRAFT
N , 1 , 3 , 0 , 0 : NONE
N , 1 , 3 , 0 , 1 : DOWN
N , 1 , 3 , 0 , 2 : DOWN
N , 1 , 3 , 0 , 3 : DOWN
N , 1 , 3 , 0 , 4 : DOWN
N , 1 , 3 , 1 , 0 : NONE
N , 1 , 3 , 1 , 1 : STAY
N , 1 , 3 , 1 , 2 : STAY
N , 1 , 3 , 1 , 3 : STAY
N , 1 , 3 , 1 , 4 : STAY
N , 2 , 0 , 0 , 0 : NONE
N , 2 , 0 , 0 , 1 : CRAFT
N , 2 , 0 , 0 , 2 : CRAFT
N , 2 , 0 , 0 , 3 : CRAFT
N , 2 , 0 , 0 , 4 : CRAFT
N , 2 , 0 , 1 , 0 : NONE
N , 2 , 0 , 1 , 1 : CRAFT
N , 2 , 0 , 1 , 2 : CRAFT
N , 2 , 0 , 1 , 3 : CRAFT
N , 2 , 0 , 1 , 4 : CRAFT
N , 2 , 1 , 0 , 0 : NONE
N , 2 , 1 , 0 , 1 : DOWN
N , 2 , 1 , 0 , 2 : CRAFT
N , 2 , 1 , 0 , 3 : CRAFT
N , 2 , 1 , 0 , 4 : CRAFT
N , 2 , 1 , 1 , 0 : NONE
N , 2 , 1 , 1 , 1 : CRAFT
N , 2 , 1 , 1 , 2 : CRAFT
N , 2 , 1 , 1 , 3 : CRAFT
N , 2 , 1 , 1 , 4 : CRAFT
N , 2 , 2 , 0 , 0 : NONE
N , 2 , 2 , 0 , 1 : DOWN
N , 2 , 2 , 0 , 2 : DOWN
N , 2 , 2 , 0 , 3 : CRAFT
N , 2 , 2 , 0 , 4 : DOWN
N , 2 , 2 , 1 , 0 : NONE
N , 2 , 2 , 1 , 1 : STAY
N , 2 , 2 , 1 , 2 : CRAFT
N , 2 , 2 , 1 , 3 : CRAFT
N , 2 , 2 , 1 , 4 : CRAFT
N , 2 , 3 , 0 , 0 : NONE
N , 2 , 3 , 0 , 1 : DOWN
N , 2 , 3 , 0 , 2 : DOWN
N , 2 , 3 , 0 , 3 : DOWN
N , 2 , 3 , 0 , 4 : DOWN
N , 2 , 3 , 1 , 0 : NONE
N , 2 , 3 , 1 , 1 : STAY
N , 2 , 3 , 1 , 2 : STAY
N , 2 , 3 , 1 , 3 : STAY
N , 2 , 3 , 1 , 4 : STAY
S , 0 , 0 , 0 , 0 : NONE
S , 0 , 0 , 0 , 1 : UP
S , 0 , 0 , 0 , 2 : UP
S , 0 , 0 , 0 , 3 : UP
S , 0 , 0 , 0 , 4 : UP
S , 0 , 0 , 1 , 0 : NONE
S , 0 , 0 , 1 , 1 : GATHER
S , 0 , 0 , 1 , 2 : STAY
S , 0 , 0 , 1 , 3 : UP
S , 0 , 0 , 1 , 4 : UP
S , 0 , 1 , 0 , 0 : NONE
S , 0 , 1 , 0 , 1 : UP
S , 0 , 1 , 0 , 2 : UP
S , 0 , 1 , 0 , 3 : UP
S , 0 , 1 , 0 , 4 : UP
S , 0 , 1 , 1 , 0 : NONE
S , 0 , 1 , 1 , 1 : STAY
S , 0 , 1 , 1 , 2 : STAY
S , 0 , 1 , 1 , 3 : STAY
S , 0 , 1 , 1 , 4 : UP
S , 0 , 2 , 0 , 0 : NONE
S , 0 , 2 , 0 , 1 : UP
S , 0 , 2 , 0 , 2 : UP
S , 0 , 2 , 0 , 3 : UP
S , 0 , 2 , 0 , 4 : UP
S , 0 , 2 , 1 , 0 : NONE
S , 0 , 2 , 1 , 1 : STAY
S , 0 , 2 , 1 , 2 : STAY
S , 0 , 2 , 1 , 3 : STAY
S , 0 , 2 , 1 , 4 : STAY
S , 0 , 3 , 0 , 0 : NONE
S , 0 , 3 , 0 , 1 : UP
S , 0 , 3 , 0 , 2 : UP
S , 0 , 3 , 0 , 3 : UP
