iteration=0
('C', 0, 0, 'D', 0):NONE=[0]
('C', 0, 0, 'D', 25):HIT=[-15.000000000000004]
('C', 0, 0, 'D', 50):HIT=[-15.000000000000004]
('C', 0, 0, 'D', 75):UP=[-20.0]
('C', 0, 0, 'D', 100):UP=[-20.0]
('N', 0, 0, 'D', 0):NONE=[0]
('N', 0, 0, 'D', 25):DOWN=[-20.0]
('N', 0, 0, 'D', 50):DOWN=[-20.0]
('N', 0, 0, 'D', 75):DOWN=[-20.0]
('N', 0, 0, 'D', 100):DOWN=[-20.0]
('S', 0, 0, 'D', 0):NONE=[0]
('S', 0, 0, 'D', 25):UP=[-20.0]
('S', 0, 0, 'D', 50):UP=[-20.0]
('S', 0, 0, 'D', 75):UP=[-20.0]
('S', 0, 0, 'D', 100):UP=[-20.0]
('W', 0, 0, 'D', 0):NONE=[0]
('W', 0, 0, 'D', 25):RIGHT=[-20.0]
('W', 0, 0, 'D', 50):RIGHT=[-20.0]
('W', 0, 0, 'D', 75):RIGHT=[-20.0]
('W', 0, 0, 'D', 100):RIGHT=[-20.0]
('E', 0, 0, 'D', 0):NONE=[0]
('E', 0, 0, 'D', 25):HIT=[-10.000000000000002]
('E', 0, 0, 'D', 50):HIT=[-10.000000000000002]
('E', 0, 0, 'D', 75):LEFT=[-20.0]
('E', 0, 0, 'D', 100):LEFT=[-20.0]
('C', 0, 0, 'R', 0):NONE=[0]
('C', 0, 0, 'R', 25):HIT=[-37.5]
('C', 0, 0, 'R', 50):HIT=[-37.5]
('C', 0, 0, 'R', 75):UP=[-40.0]
('C', 0, 0, 'R', 100):UP=[-40.0]
('N', 0, 0, 'R', 0):NONE=[0]
('N', 0, 0, 'R', 25):DOWN=[-20.0]
('N', 0, 0, 'R', 50):DOWN=[-20.0]
('N', 0, 0, 'R', 75):DOWN=[-20.0]
('N', 0, 0, 'R', 100):DOWN=[-20.0]
('S', 0, 0, 'R', 0):NONE=[0]
('S', 0, 0, 'R', 25):UP=[-20.0]
('S', 0, 0, 'R', 50):UP=[-20.0]
('S', 0, 0, 'R', 75):UP=[-20.0]
('S', 0, 0, 'R', 100):UP=[-20.0]
('W', 0, 0, 'R', 0):NONE=[0]
('W', 0, 0, 'R', 25):RIGHT=[-20.0]
('W', 0, 0, 'R', 50):RIGHT=[-20.0]
('W', 0, 0, 'R', 75):RIGHT=[-20.0]
('W', 0, 0, 'R', 100):RIGHT=[-20.0]
('E', 0, 0, 'R', 0):NONE=[0]
('E', 0, 0, 'R', 25):HIT=[-35.0]
('E', 0, 0, 'R', 50):HIT=[-35.0]
('E', 0, 0, 'R', 75):LEFT=[-40.0]
('E', 0, 0, 'R', 100):LEFT=[-40.0]
('C', 0, 1, 'D', 0):NONE=[0]
('C', 0, 1, 'D', 25):SHOOT=[5.0]
('C', 0, 1, 'D', 50):HIT=[-15.000000000000004]
('C', 0, 1, 'D', 75):UP=[-20.0]
('C', 0, 1, 'D', 100):UP=[-20.0]
('N', 0, 1, 'D', 0):NONE=[0]
('N', 0, 1, 'D', 25):DOWN=[-20.0]
('N', 0, 1, 'D', 50):DOWN=[-20.0]
('N', 0, 1, 'D', 75):DOWN=[-20.0]
('N', 0, 1, 'D', 100):DOWN=[-20.0]
('S', 0, 1, 'D', 0):NONE=[0]
('S', 0, 1, 'D', 25):UP=[-20.0]
('S', 0, 1, 'D', 50):UP=[-20.0]
('S', 0, 1, 'D', 75):UP=[-20.0]
('S', 0, 1, 'D', 100):UP=[-20.0]
('W', 0, 1, 'D', 0):NONE=[0]
('W', 0, 1, 'D', 25):SHOOT=[-7.500000000000002]
('W', 0, 1, 'D', 50):RIGHT=[-20.0]
('W', 0, 1, 'D', 75):RIGHT=[-20.0]
('W', 0, 1, 'D', 100):RIGHT=[-20.0]
('E', 0, 1, 'D', 0):NONE=[0]
('E', 0, 1, 'D', 25):SHOOT=[25.0]
('E', 0, 1, 'D', 50):HIT=[-10.000000000000002]
('E', 0, 1, 'D', 75):LEFT=[-20.0]
('E', 0, 1, 'D', 100):LEFT=[-20.0]
('C', 0, 1, 'R', 0):NONE=[0]
('C', 0, 1, 'R', 25):SHOOT=[-27.5]
('C', 0, 1, 'R', 50):HIT=[-37.5]
('C', 0, 1, 'R', 75):UP=[-40.0]
('C', 0, 1, 'R', 100):UP=[-40.0]
('N', 0, 1, 'R', 0):NONE=[0]
('N', 0, 1, 'R', 25):DOWN=[-20.0]
('N', 0, 1, 'R', 50):DOWN=[-20.0]
('N', 0, 1, 'R', 75):DOWN=[-20.0]
('N', 0, 1, 'R', 100):DOWN=[-20.0]
('S', 0, 1, 'R', 0):NONE=[0]
('S', 0, 1, 'R', 25):UP=[-20.0]
('S', 0, 1, 'R', 50):UP=[-20.0]
('S', 0, 1, 'R', 75):UP=[-20.0]
('S', 0, 1, 'R', 100):UP=[-20.0]
('W', 0, 1, 'R', 0):NONE=[0]
('W', 0, 1, 'R', 25):SHOOT=[-7.5]
('W', 0, 1, 'R', 50):RIGHT=[-20.0]
('W', 0, 1, 'R', 75):RIGHT=[-20.0]
('W', 0, 1, 'R', 100):RIGHT=[-20.0]
('E', 0, 1, 'R', 0):NONE=[0]
('E', 0, 1, 'R', 25):SHOOT=[-17.5]
('E', 0, 1, 'R', 50):HIT=[-35.0]
('E', 0, 1, 'R', 75):LEFT=[-40.0]
('E', 0, 1, 'R', 100):LEFT=[-40.0]
('C', 0, 2, 'D', 0):NONE=[0]
('C', 0, 2, 'D', 25):SHOOT=[5.0]
('C', 0, 2, 'D', 50):HIT=[-15.000000000000004]
('C', 0, 2, 'D', 75):UP=[-20.0]
('C', 0, 2, 'D', 100):UP=[-20.0]
('N', 0, 2, 'D', 0):NONE=[0]
('N', 0, 2, 'D', 25):DOWN=[-20.0]
('N', 0, 2, 'D', 50):DOWN=[-20.0]
('N', 0, 2, 'D', 75):DOWN=[-20.0]
('N', 0, 2, 'D', 100):DOWN=[-20.0]
('S', 0, 2, 'D', 0):NONE=[0]
('S', 0, 2, 'D', 25):UP=[-20.0]
('S', 0, 2, 'D', 50):UP=[-20.0]
('S', 0, 2, 'D', 75):UP=[-20.0]
('S', 0, 2, 'D', 100):UP=[-20.0]
('W', 0, 2, 'D', 0):NONE=[0]
('W', 0, 2, 'D', 25):SHOOT=[-7.500000000000002]
('W', 0, 2, 'D', 50):RIGHT=[-20.0]
('W', 0, 2, 'D', 75):RIGHT=[-20.0]
('W', 0, 2, 'D', 100):RIGHT=[-20.0]
('E', 0, 2, 'D', 0):NONE=[0]
('E', 0, 2, 'D', 25):SHOOT=[25.0]
('E', 0, 2, 'D', 50):HIT=[-10.000000000000002]
('E', 0, 2, 'D', 75):LEFT=[-20.0]
